title	date	journal	url	EMOBON_publication
Impacts of reduced inorganic N:P ratio on three distinct plankton communities in the Humboldt upwelling system	2019	Marine Biology	https://doi.org/10.1007/s00227-019-3561-x	No
A Deviant Genetic Code in the Reduced Mitochondrial Genome of the Picoplanktonic Green Alga Pycnococcus provasolii	2010	Journal of Molecular Evolution	https://doi.org/10.1007/s00239-010-9322-6	No
Changes in Microbial Communities Associated with the Sea Anemone Anemonia viridis in a Natural pH Gradient	2012	Microbial Ecology	https://doi.org/10.1007/s00248-012-0127-6	No
Effects of Grazer Presence on Genetic Structure of a Phenotypically Diverse Diatom Population	2013	Microbial Ecology	https://doi.org/10.1007/s00248-013-0327-8	No
Enriched hydrogen-oxidizing microbiomes show a high diversity of co-existing hydrogen-oxidizing bacteria	2019	Applied Microbiology and Biotechnology	https://doi.org/10.1007/s00253-019-10082-z	No
Genome editing in diatoms: achievements and goals	2018	Plant Cell Reports	https://doi.org/10.1007/s00299-018-2334-1	No
Pan-Arctic population of the keystone copepod Calanus glacialis	2016	Polar Biology	https://doi.org/10.1007/s00300-016-1898-x	No
Decoupling light harvesting, electron transport and carbon fixation during prolonged darkness supports rapid recovery upon re-illumination in the Arctic diatom Chaetoceros neogracilis	2019	Polar Biology	https://doi.org/10.1007/s00300-019-02507-2	No
Locally accelerated growth is part of the innate immune response and repair mechanisms in reef-building corals as detected by green fluorescent protein (GFP)-like pigments	2012	Coral Reefs	https://doi.org/10.1007/s00338-012-0926-8	No
The effect of local hydrodynamics on the spatial extent and morphology of cold-water coral habitats at Tisler Reef, Norway	2017	Coral Reefs	https://doi.org/10.1007/s00338-017-1653-y	No
Genetic transformation of marine cyanobacterium Synechococcus sp. CC9311 (Cyanophyceae) by electroporation	2013	Chinese Journal of Oceanology and Limnology	https://doi.org/10.1007/s00343-013-2164-5	No
Expression pattern of Piwi-like genes in adult Myzostoma cirriferum (Annelida)	2013	Development Genes and Evolution	https://doi.org/10.1007/s00427-013-0444-x	No
The HMGA gene family in chordates: evolutionary perspectives from amphioxus	2017	Development Genes and Evolution	https://doi.org/10.1007/s00427-017-0581-8	No
Embryonic expression of priapulid Wnt genes	2019	Development Genes and Evolution	https://doi.org/10.1007/s00427-019-00636-6	No
Developmental, tract-tracing and immunohistochemical study of the peripheral olfactory system in a basal vertebrate: insights on Pax6 neurons migrating along the olfactory nerve	2012	Brain Structure and Function	https://doi.org/10.1007/s00429-012-0486-2	No
Tangential migratory pathways of subpallial origin in the embryonic telencephalon of sharks: evolutionary implications	2014	Brain Structure and Function	https://doi.org/10.1007/s00429-014-0834-5	No
Genoarchitecture of the rostral hindbrain of a shark: basis for understanding the emergence of the cerebellum at the agnathan–gnathostome transition	2015	Brain Structure and Function	https://doi.org/10.1007/s00429-014-0973-8	No
Morphogenesis of the cerebellum and cerebellum-related structures in the shark Scyliorhinus canicula: insights on the ground pattern of the cerebellar ontogeny	2015	Brain Structure and Function	https://doi.org/10.1007/s00429-015-0998-7	No
Musculature of Seison nebaliae Grube, 1861 and Paraseison annulatus (Claus, 1876) revealed with CLSM: a comparative study of the gnathiferan key taxon Seisonacea (Rotifera)	2012	Zoomorphology	https://doi.org/10.1007/s00435-012-0155-2	No
Phagocytosis of algal chloroplasts by digestive gland cells in the photosynthesis-capable slug Elysia timida (Mollusca, Opisthobranchia, Sacoglossa)	2012	Zoomorphology	https://doi.org/10.1007/s00435-012-0184-x	No
Neural system reorganization during metamorphosis in the planula larva of Clava multicornis (Hydrozoa, Cnidaria)	2013	Zoomorphology	https://doi.org/10.1007/s00435-013-0188-1	No
Immunohistochemical investigations of Myzostoma cirriferum and Mesomyzostoma cf. katoi (Myzostomida, Annelida) with implications for the evolution of the myzostomid body plan	2014	Zoomorphology	https://doi.org/10.1007/s00435-014-0221-z	No
A functional RNase P protein subunit of bacterial origin in some eukaryotes	2011	Molecular Genetics and Genomics	https://doi.org/10.1007/s00438-011-0651-y	No
Attachment, penetration and early host defense mechanisms during the infection of filamentous brown algae by Eurychasma dicksonii	2014	Protoplasma	https://doi.org/10.1007/s00709-014-0721-1	No
